Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cultivar]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[genotype]	Characteristics[organism part]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[cultivar]
P3	ERS2903442	SAMEA5092100	Hordeum vulgare subsp. vulgare	P0003 (02055-94)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P3	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P3_S635_L002	group 3	sequencing assay	ERX2907041	HGL5VBBXX_P3_S635_L002_R1_001.fastq.gz	HGL5VBBXX_P3_S635_L002_R1_001.fastq.gz	ERR2902351	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/001/ERR2902351/ERR2902351_1.fastq.gz	302	152	P0003 (02055-94)
P3	ERS2903442	SAMEA5092100	Hordeum vulgare subsp. vulgare	P0003 (02055-94)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P3	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P3_S635_L002	group 3	sequencing assay	ERX2907041	HGL5VBBXX_P3_S635_L002_R2_001.fastq.gz	HGL5VBBXX_P3_S635_L002_R2_001.fastq.gz	ERR2902351	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/001/ERR2902351/ERR2902351_2.fastq.gz	302	152	P0003 (02055-94)
P4	ERS2903443	SAMEA5092101	Hordeum vulgare subsp. vulgare	P0004 (02S169-51-45)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P4	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HFVHJBBXX_P4_S269_L003	group 4	sequencing assay	ERX2907042	HFVHJBBXX_P4_S269_L003_R1_001.fastq.gz	HFVHJBBXX_P4_S269_L003_R1_001.fastq.gz	ERR2902352	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/002/ERR2902352/ERR2902352_1.fastq.gz	302	152	P0004 (02S169-51-45)
P4	ERS2903443	SAMEA5092101	Hordeum vulgare subsp. vulgare	P0004 (02S169-51-45)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P4	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HFVHJBBXX_P4_S269_L003	group 4	sequencing assay	ERX2907042	HFVHJBBXX_P4_S269_L003_R2_001.fastq.gz	HFVHJBBXX_P4_S269_L003_R2_001.fastq.gz	ERR2902352	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/002/ERR2902352/ERR2902352_2.fastq.gz	302	152	P0004 (02S169-51-45)
P4	ERS2903443	SAMEA5092101	Hordeum vulgare subsp. vulgare	P0004 (02S169-51-45)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P4	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HH2WCBBXX_P4_S564_L007	group 4	sequencing assay	ERX2907042	HH2WCBBXX_P4_S564_L007_R1_001.fastq.gz	HH2WCBBXX_P4_S564_L007_R1_001.fastq.gz	ERR2902353	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/003/ERR2902353/ERR2902353_1.fastq.gz	302	152	P0004 (02S169-51-45)
P4	ERS2903443	SAMEA5092101	Hordeum vulgare subsp. vulgare	P0004 (02S169-51-45)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P4	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HH2WCBBXX_P4_S564_L007	group 4	sequencing assay	ERX2907042	HH2WCBBXX_P4_S564_L007_R2_001.fastq.gz	HH2WCBBXX_P4_S564_L007_R2_001.fastq.gz	ERR2902353	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/003/ERR2902353/ERR2902353_2.fastq.gz	302	152	P0004 (02S169-51-45)
P5	ERS2903444	SAMEA5092102	Hordeum vulgare subsp. vulgare	P0005 (04053-034)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P5	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P5_S169_L004	group 5	sequencing assay	ERX2907043	HGH2WBBXX_P5_S169_L004_R1_001.fastq.gz	HGH2WBBXX_P5_S169_L004_R1_001.fastq.gz	ERR2902354	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/004/ERR2902354/ERR2902354_1.fastq.gz	302	152	P0005 (04053-034)
P5	ERS2903444	SAMEA5092102	Hordeum vulgare subsp. vulgare	P0005 (04053-034)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P5	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P5_S169_L004	group 5	sequencing assay	ERX2907043	HGH2WBBXX_P5_S169_L004_R2_001.fastq.gz	HGH2WBBXX_P5_S169_L004_R2_001.fastq.gz	ERR2902354	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/004/ERR2902354/ERR2902354_2.fastq.gz	302	152	P0005 (04053-034)
P5	ERS2903444	SAMEA5092102	Hordeum vulgare subsp. vulgare	P0005 (04053-034)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P5	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P5_S643_L002	group 5	sequencing assay	ERX2907043	HGL5VBBXX_P5_S643_L002_R1_001.fastq.gz	HGL5VBBXX_P5_S643_L002_R1_001.fastq.gz	ERR2902355	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/005/ERR2902355/ERR2902355_1.fastq.gz	302	152	P0005 (04053-034)
P5	ERS2903444	SAMEA5092102	Hordeum vulgare subsp. vulgare	P0005 (04053-034)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P5	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P5_S643_L002	group 5	sequencing assay	ERX2907043	HGL5VBBXX_P5_S643_L002_R2_001.fastq.gz	HGL5VBBXX_P5_S643_L002_R2_001.fastq.gz	ERR2902355	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/005/ERR2902355/ERR2902355_2.fastq.gz	302	152	P0005 (04053-034)
P6	ERS2903445	SAMEA5092103	Hordeum vulgare subsp. vulgare	P0006 (04053-099)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P6	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P6_S117_L004	group 6	sequencing assay	ERX2907044	HGH2WBBXX_P6_S117_L004_R1_001.fastq.gz	HGH2WBBXX_P6_S117_L004_R1_001.fastq.gz	ERR2902356	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/006/ERR2902356/ERR2902356_1.fastq.gz	302	152	P0006 (04053-099)
P6	ERS2903445	SAMEA5092103	Hordeum vulgare subsp. vulgare	P0006 (04053-099)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P6	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P6_S117_L004	group 6	sequencing assay	ERX2907044	HGH2WBBXX_P6_S117_L004_R2_001.fastq.gz	HGH2WBBXX_P6_S117_L004_R2_001.fastq.gz	ERR2902356	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/006/ERR2902356/ERR2902356_2.fastq.gz	302	152	P0006 (04053-099)
P6	ERS2903445	SAMEA5092103	Hordeum vulgare subsp. vulgare	P0006 (04053-099)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P6	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P6_S431_L002	group 6	sequencing assay	ERX2907044	HGL5VBBXX_P6_S431_L002_R1_001.fastq.gz	HGL5VBBXX_P6_S431_L002_R1_001.fastq.gz	ERR2902357	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/007/ERR2902357/ERR2902357_1.fastq.gz	302	152	P0006 (04053-099)
P6	ERS2903445	SAMEA5092103	Hordeum vulgare subsp. vulgare	P0006 (04053-099)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P6	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P6_S431_L002	group 6	sequencing assay	ERX2907044	HGL5VBBXX_P6_S431_L002_R2_001.fastq.gz	HGL5VBBXX_P6_S431_L002_R2_001.fastq.gz	ERR2902357	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/007/ERR2902357/ERR2902357_2.fastq.gz	302	152	P0006 (04053-099)
P7	ERS2903446	SAMEA5092104	Hordeum vulgare subsp. vulgare	P0007 (04055-119)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P7	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P7_S181_L004	group 7	sequencing assay	ERX2907045	HGH2WBBXX_P7_S181_L004_R1_001.fastq.gz	HGH2WBBXX_P7_S181_L004_R1_001.fastq.gz	ERR2902358	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/008/ERR2902358/ERR2902358_1.fastq.gz	302	152	P0007 (04055-119)
P7	ERS2903446	SAMEA5092104	Hordeum vulgare subsp. vulgare	P0007 (04055-119)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P7	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P7_S181_L004	group 7	sequencing assay	ERX2907045	HGH2WBBXX_P7_S181_L004_R2_001.fastq.gz	HGH2WBBXX_P7_S181_L004_R2_001.fastq.gz	ERR2902358	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/008/ERR2902358/ERR2902358_2.fastq.gz	302	152	P0007 (04055-119)
P7	ERS2903446	SAMEA5092104	Hordeum vulgare subsp. vulgare	P0007 (04055-119)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P7	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P7_S655_L002	group 7	sequencing assay	ERX2907045	HGL5VBBXX_P7_S655_L002_R1_001.fastq.gz	HGL5VBBXX_P7_S655_L002_R1_001.fastq.gz	ERR2902359	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/009/ERR2902359/ERR2902359_1.fastq.gz	302	152	P0007 (04055-119)
P7	ERS2903446	SAMEA5092104	Hordeum vulgare subsp. vulgare	P0007 (04055-119)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P7	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P7_S655_L002	group 7	sequencing assay	ERX2907045	HGL5VBBXX_P7_S655_L002_R2_001.fastq.gz	HGL5VBBXX_P7_S655_L002_R2_001.fastq.gz	ERR2902359	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/009/ERR2902359/ERR2902359_2.fastq.gz	302	152	P0007 (04055-119)
P8	ERS2903447	SAMEA5092105	Hordeum vulgare subsp. vulgare	P0008 (04056-088)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P8	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P8_S175_L004	group 8	sequencing assay	ERX2907046	HGH2WBBXX_P8_S175_L004_R1_001.fastq.gz	HGH2WBBXX_P8_S175_L004_R1_001.fastq.gz	ERR2902360	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/000/ERR2902360/ERR2902360_1.fastq.gz	302	152	P0008 (04056-088)
P8	ERS2903447	SAMEA5092105	Hordeum vulgare subsp. vulgare	P0008 (04056-088)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P8	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P8_S175_L004	group 8	sequencing assay	ERX2907046	HGH2WBBXX_P8_S175_L004_R2_001.fastq.gz	HGH2WBBXX_P8_S175_L004_R2_001.fastq.gz	ERR2902360	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/000/ERR2902360/ERR2902360_2.fastq.gz	302	152	P0008 (04056-088)
P8	ERS2903447	SAMEA5092105	Hordeum vulgare subsp. vulgare	P0008 (04056-088)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P8	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P8_S649_L002	group 8	sequencing assay	ERX2907046	HGL5VBBXX_P8_S649_L002_R1_001.fastq.gz	HGL5VBBXX_P8_S649_L002_R1_001.fastq.gz	ERR2902361	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/001/ERR2902361/ERR2902361_1.fastq.gz	302	152	P0008 (04056-088)
P8	ERS2903447	SAMEA5092105	Hordeum vulgare subsp. vulgare	P0008 (04056-088)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P8	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P8_S649_L002	group 8	sequencing assay	ERX2907046	HGL5VBBXX_P8_S649_L002_R2_001.fastq.gz	HGL5VBBXX_P8_S649_L002_R2_001.fastq.gz	ERR2902361	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/001/ERR2902361/ERR2902361_2.fastq.gz	302	152	P0008 (04056-088)
P10	ERS2903448	SAMEA5092106	Hordeum vulgare subsp. vulgare	P0010 (04S213D-B-11 )	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P10	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HFVHJBBXX_P10_S264_L003	group 9	sequencing assay	ERX2907047	HFVHJBBXX_P10_S264_L003_R1_001.fastq.gz	HFVHJBBXX_P10_S264_L003_R1_001.fastq.gz	ERR2902362	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/002/ERR2902362/ERR2902362_1.fastq.gz	302	152	P0010 (04S213D-B-11 )
P10	ERS2903448	SAMEA5092106	Hordeum vulgare subsp. vulgare	P0010 (04S213D-B-11 )	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P10	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HFVHJBBXX_P10_S264_L003	group 9	sequencing assay	ERX2907047	HFVHJBBXX_P10_S264_L003_R2_001.fastq.gz	HFVHJBBXX_P10_S264_L003_R2_001.fastq.gz	ERR2902362	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/002/ERR2902362/ERR2902362_2.fastq.gz	302	152	P0010 (04S213D-B-11 )
